Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.94*D*D + 0.06* C*C) or GARCH (1;1) model for INDIAVIX, Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.94*J*J + 0.06* I*I) or GARCH (1;1) model for INDIAVIX, Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
05-Jan-17,CROMPGREAV,61.95,61.2,  0.0122,  0.0252,  0.0246,  0.4707,61.75,60.9,  0.0139,  0.0248,  0.0243,  0.4634,  0.0246,  0.4707
05-Jan-17,CUMMINSIND,814.85,808.35,  0.0080,  0.0175,  0.0171,  0.3265,817.4,811.6,  0.0071,  0.0163,  0.0159,  0.3036,  0.0171,  0.3265
05-Jan-17,DABUR,278.85,276.55,  0.0083,  0.0150,  0.0147,  0.2814,279.2,277.3,  0.0068,  0.0140,  0.0137,  0.2616,  0.0147,  0.2814
05-Jan-17,DCBBANK,113.9,111.95,  0.0173,  0.0219,  0.0217,  0.4137,114.05,112.5,  0.0137,  0.0224,  0.0220,  0.4206,  0.0220,  0.4206
05-Jan-17,DHFL,247.45,243.2,  0.0173,  0.0232,  0.0229,  0.4374,248.35,244.15,  0.0171,  0.0236,  0.0233,  0.4442,  0.0233,  0.4442
05-Jan-17,DISHTV,86.3,84.8,  0.0175,  0.0192,  0.0191,  0.3651,86.75,85.15,  0.0186,  0.0194,  0.0194,  0.3697,  0.0194,  0.3697
05-Jan-17,DIVISLAB,764,752.3,  0.0154,  0.0582,  0.0565,  1.0799,767,755.6,  0.0150,  0.0578,  0.0562,  1.0732,  0.0565,  1.0799
05-Jan-17,DJIA,19942.16,19881.76,  0.0030,  0.0046,  0.0046,  0.0871,19885,19840,  0.0023,  0.0047,  0.0046,  0.0879,  0.0046,  0.0879
05-Jan-17,DLF,126.65,125.5,  0.0091,  0.0356,  0.0346,  0.6603,127,125.8,  0.0095,  0.0369,  0.0359,  0.6858,  0.0359,  0.6858
05-Jan-17,DRREDDY,3136.25,3091.3,  0.0144,  0.0106,  0.0109,  0.2085,3144.75,3104.9,  0.0128,  0.0104,  0.0106,  0.2022,  0.0109,  0.2085
05-Jan-17,EICHERMOT,22324.35,22196.5,  0.0057,  0.0224,  0.0217,  0.4153,22406.45,22233.4,  0.0078,  0.0220,  0.0214,  0.4083,  0.0217,  0.4153
05-Jan-17,ENGINERSIN,154.95,153.75,  0.0078,  0.0357,  0.0346,  0.6619,155.35,154.15,  0.0078,  0.0277,  0.0269,  0.5138,  0.0346,  0.6619
05-Jan-17,EXIDEIND,184.25,182.1,  0.0117,  0.0149,  0.0148,  0.2822,184.5,182.95,  0.0084,  0.0155,  0.0151,  0.2889,  0.0151,  0.2889
05-Jan-17,FEDERALBNK,67.5,65.75,  0.0263,  0.0193,  0.0198,  0.3786,67.8,66,  0.0269,  0.0202,  0.0207,  0.3952,  0.0207,  0.3952
05-Jan-17,FTSE100,7189.74,7177.89,  0.0016,  0.0054,  0.0052,  0.1000,7209,7199,  0.0014,  0.0054,  0.0053,  0.1011,  0.0053,  0.1011
05-Jan-17,GAIL,442.15,440.15,  0.0045,  0.0142,  0.0138,  0.2638,442.6,440.65,  0.0044,  0.0133,  0.0129,  0.2463,  0.0138,  0.2638
05-Jan-17,GLENMARK,897.65,899, -0.0015,  0.0149,  0.0145,  0.2766,901.3,902.45, -0.0013,  0.0147,  0.0143,  0.2728,  0.0145,  0.2766
05-Jan-17,GMRINFRA,12.75,12.75,  0.0000,  0.0208,  0.0202,  0.3855,12.8,12.8,  0.0000,  0.0212,  0.0205,  0.3919,  0.0205,  0.3919
05-Jan-17,GODREJCP,1524.2,1531.35, -0.0047,  0.0146,  0.0142,  0.2712,1531.85,1536, -0.0027,  0.0146,  0.0142,  0.2704,  0.0142,  0.2712
05-Jan-17,GODREJIND,435.15,432.7,  0.0056,  0.0170,  0.0165,  0.3161,436.45,433.5,  0.0068,  0.0160,  0.0156,  0.2985,  0.0165,  0.3161
05-Jan-17,GRANULES,111.8,110,  0.0162,  0.0239,  0.0235,  0.4490,112.25,110.05,  0.0198,  0.0247,  0.0245,  0.4674,  0.0245,  0.4674
05-Jan-17,GRASIM,865.8,867, -0.0014,  0.0173,  0.0167,  0.3198,868.75,869.75, -0.0012,  0.0173,  0.0168,  0.3201,  0.0168,  0.3201
05-Jan-17,HAVELLS,359.55,351.15,  0.0236,  0.0239,  0.0239,  0.4558,359.9,351.2,  0.0245,  0.0235,  0.0236,  0.4510,  0.0239,  0.4558
05-Jan-17,HCLTECH,844.65,856.95, -0.0145,  0.0144,  0.0144,  0.2756,843.45,854.7, -0.0132,  0.0141,  0.0141,  0.2692,  0.0144,  0.2756
05-Jan-17,HDFC,1217.2,1212.1,  0.0042,  0.0151,  0.0146,  0.2796,1221.45,1214.75,  0.0055,  0.0145,  0.0141,  0.2690,  0.0146,  0.2796
05-Jan-17,HDFCBANK,1186.2,1185.5,  0.0006,  0.0084,  0.0082,  0.1563,1188.2,1190.3, -0.0018,  0.0084,  0.0082,  0.1558,  0.0082,  0.1563
05-Jan-17,HDIL,63.65,62.8,  0.0134,  0.0315,  0.0307,  0.5871,63.8,63.1,  0.0110,  0.0321,  0.0313,  0.5977,  0.0313,  0.5977
05-Jan-17,HEROMOTOCO,3071.75,3004.9,  0.0220,  0.0133,  0.0139,  0.2662,3083.25,3017.2,  0.0217,  0.0132,  0.0139,  0.2655,  0.0139,  0.2662
05-Jan-17,HEXAWARE,209.3,213.25, -0.0187,  0.0154,  0.0157,  0.2991,210.15,213, -0.0135,  0.0155,  0.0154,  0.2944,  0.0157,  0.2991
05-Jan-17,HINDALCO,162,158.9,  0.0193,  0.0235,  0.0233,  0.4454,162.6,159.15,  0.0214,  0.0235,  0.0234,  0.4474,  0.0234,  0.4474
05-Jan-17,HINDPETRO,472.95,460.95,  0.0257,  0.0202,  0.0206,  0.3931,467.5,454.85,  0.0274,  0.0186,  0.0192,  0.3672,  0.0206,  0.3931
05-Jan-17,HINDUNILVR,833.15,821.6,  0.0140,  0.0097,  0.0100,  0.1905,835.4,825.35,  0.0121,  0.0091,  0.0093,  0.1775,  0.0100,  0.1905
05-Jan-17,HINDZINC,261.9,251.3,  0.0413,  0.0222,  0.0238,  0.4543,262.65,252.1,  0.0410,  0.0223,  0.0238,  0.4552,  0.0238,  0.4552
