CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTCURUSDINR29-MAR-2017PE65,.015,0,0,0,,.0125,.0025,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017PE65.25,.0225,0,0,0,,.0175,.005,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017PE65.5,.0325,0,0,0,,.025,.0075,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017PE65.75,.045,0,0,0,,.035,.01,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017PE66,.06,0,0,0,,.05,.01,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017PE66.25,.08,0,0,0,,.0675,.0125,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017PE66.5,.1075,0,0,0,,.0925,.015,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017PE66.75,.1425,0,0,0,,.125,.0175,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017PE67,.185,0,0,0,,.1625,.0225,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017PE67.25,.235,0,0,0,,.21,.025,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017PE67.5,.295,0,0,0,,.2725,.0225,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017PE67.75,.3675,0,0,0,,.3375,.03,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017PE68,.4525,0,0,0,,.42,.0325,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017PE68.25,.55,0,0,0,,.5125,.0375,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017PE68.5,.6575,0,0,0,,.6225,.035,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017PE68.75,.78,0,0,0,,.7425,.0375,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017PE69,.9175,0,0,0,,.8775,.04,0,0,0,,0,0
