INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,APOLLOHOSP,25/01/2017,00001209.00,00001230.00,00001209.00,00001223.05,000000000556800,      270261080.00,           222000,              555,              540
FUTSTK    ,APOLLOTYRE,25/01/2017,00000188.00,00000190.10,00000185.00,00000185.95,000000007362000,      742977150.00,          3960000,             1320,             1263
FUTSTK    ,APOLLOTYRE,23/02/2017,00000188.80,00000190.30,00000185.85,00000185.85,000000000093000,        5056950.00,            27000,              009,              009
FUTSTK    ,APOLLOTYRE,30/03/2017,00000188.00,00000188.00,00000188.00,00000188.00,000000000000000,         564000.00,             3000,              001,              001
FUTSTK    ,ARVIND    ,25/01/2017,00000361.30,00000364.00,00000357.40,00000359.45,000000005502000,     2574115100.00,          7136000,             3568,             3272
FUTSTK    ,ARVIND    ,23/02/2017,00000360.00,00000363.80,00000359.00,00000363.80,000000000048000,        2886800.00,             8000,              004,              004
FUTSTK    ,ASHOKLEY  ,25/01/2017,00000081.50,00000084.90,00000081.25,00000084.30,000000058366000,     2936419850.00,         35028000,             5004,             4695
FUTSTK    ,ASHOKLEY  ,23/02/2017,00000083.00,00000085.00,00000083.00,00000084.50,000000001008000,       44302650.00,           525000,              075,              065
FUTSTK    ,ASIANPAINT,25/01/2017,00000900.60,00000915.50,00000900.00,00000908.20,000000005919600,     2236902720.00,          2463000,             4105,             3812
FUTSTK    ,ASIANPAINT,23/02/2017,00000912.10,00000918.00,00000905.20,00000910.80,000000000032400,       13676640.00,            15000,              025,              025
FUTSTK    ,AUROPHARMA,25/01/2017,00000677.25,00000679.35,00000665.05,00000667.80,000000010951500,     2049531785.00,          3053400,             4362,             4076
FUTSTK    ,AUROPHARMA,23/02/2017,00000678.80,00000678.80,00000668.55,00000669.90,000000000064400,       11294780.00,            16800,              024,              024
FUTSTK    ,AXISBANK  ,25/01/2017,00000457.30,00000460.45,00000453.30,00000454.50,000000028815600,     3881306160.00,          8510400,             7092,             6541
FUTSTK    ,AXISBANK  ,23/02/2017,00000461.00,00000462.45,00000455.30,00000455.85,000000000252000,       20891340.00,            45600,              038,              038
FUTSTK    ,AXISBANK  ,30/03/2017,00000462.00,00000462.00,00000458.00,00000458.00,000000000012000,        2758980.00,             6000,              005,              005
FUTSTK    ,BAJAJ-AUTO,25/01/2017,00002597.85,00002697.00,00002595.90,00002686.45,000000001320000,     1692821087.50,           636000,             2544,             2391
FUTSTK    ,BAJFINANCE,25/01/2017,00000881.45,00000886.80,00000865.30,00000869.50,000000007430000,     1615215650.00,          1850000,             3700,             3301
FUTSTK    ,BAJFINANCE,23/02/2017,00000878.65,00000883.00,00000864.05,00000869.25,000000000177500,       33110275.00,            38000,              076,              074
FUTSTK    ,BANKBARODA,25/01/2017,00000151.40,00000151.40,00000147.75,00000148.55,000000039819500,     2454369925.00,         16495500,             4713,             4414
FUTSTK    ,BANKBARODA,23/02/2017,00000149.10,00000150.05,00000148.20,00000148.60,000000000563500,       23975000.00,           161000,              046,              045
FUTSTK    ,BANKINDIA ,25/01/2017,00000108.50,00000108.55,00000106.20,00000107.10,000000023496000,      848056500.00,          7890000,             1315,             1258
