DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
13-JAN-2017,FUTSTK,INFRATEL,30-MAR-2017,358.75
13-JAN-2017,FUTSTK,INFY,25-JAN-2017,979.00
13-JAN-2017,FUTSTK,INFY,23-FEB-2017,983.45
13-JAN-2017,FUTSTK,INFY,30-MAR-2017,986.70
13-JAN-2017,FUTSTK,IOC,25-JAN-2017,350.50
13-JAN-2017,FUTSTK,IOC,23-FEB-2017,340.60
13-JAN-2017,FUTSTK,IOC,30-MAR-2017,340.00
13-JAN-2017,FUTSTK,IRB,25-JAN-2017,213.75
13-JAN-2017,FUTSTK,IRB,23-FEB-2017,214.35
13-JAN-2017,FUTSTK,IRB,30-MAR-2017,216.60
13-JAN-2017,FUTSTK,ITC,25-JAN-2017,250.25
13-JAN-2017,FUTSTK,ITC,23-FEB-2017,251.15
13-JAN-2017,FUTSTK,ITC,30-MAR-2017,252.10
13-JAN-2017,FUTSTK,JETAIRWAYS,25-JAN-2017,391.30
13-JAN-2017,FUTSTK,JETAIRWAYS,23-FEB-2017,391.10
13-JAN-2017,FUTSTK,JETAIRWAYS,30-MAR-2017,396.05
13-JAN-2017,FUTSTK,JINDALSTEL,25-JAN-2017,78.60
13-JAN-2017,FUTSTK,JINDALSTEL,23-FEB-2017,79.00
13-JAN-2017,FUTSTK,JINDALSTEL,30-MAR-2017,79.55
13-JAN-2017,FUTSTK,JISLJALEQS,25-JAN-2017,93.80
13-JAN-2017,FUTSTK,JISLJALEQS,23-FEB-2017,94.25
13-JAN-2017,FUTSTK,JISLJALEQS,30-MAR-2017,94.70
13-JAN-2017,FUTSTK,JPASSOCIAT,25-JAN-2017,9.90
13-JAN-2017,FUTSTK,JPASSOCIAT,23-FEB-2017,9.85
13-JAN-2017,FUTSTK,JPASSOCIAT,30-MAR-2017,10.00
13-JAN-2017,FUTSTK,JSWENERGY,25-JAN-2017,65.60
13-JAN-2017,FUTSTK,JSWENERGY,23-FEB-2017,66.05
13-JAN-2017,FUTSTK,JSWENERGY,30-MAR-2017,66.40
13-JAN-2017,FUTSTK,JSWSTEEL,25-JAN-2017,189.85
13-JAN-2017,FUTSTK,JSWSTEEL,23-FEB-2017,190.30
13-JAN-2017,FUTSTK,JSWSTEEL,30-MAR-2017,191.55
13-JAN-2017,FUTSTK,JUBLFOOD,25-JAN-2017,844.50
13-JAN-2017,FUTSTK,JUBLFOOD,23-FEB-2017,849.00
13-JAN-2017,FUTSTK,JUBLFOOD,30-MAR-2017,854.40
13-JAN-2017,FUTSTK,JUSTDIAL,25-JAN-2017,369.45
13-JAN-2017,FUTSTK,JUSTDIAL,23-FEB-2017,363.50
13-JAN-2017,FUTSTK,JUSTDIAL,30-MAR-2017,376.05
13-JAN-2017,FUTSTK,KOTAKBANK,25-JAN-2017,728.00
13-JAN-2017,FUTSTK,KOTAKBANK,23-FEB-2017,731.35
13-JAN-2017,FUTSTK,KOTAKBANK,30-MAR-2017,737.90
13-JAN-2017,FUTSTK,KPIT,25-JAN-2017,142.55
13-JAN-2017,FUTSTK,KPIT,23-FEB-2017,143.15
13-JAN-2017,FUTSTK,KPIT,30-MAR-2017,144.05
13-JAN-2017,FUTSTK,KSCL,25-JAN-2017,460.70
13-JAN-2017,FUTSTK,KSCL,23-FEB-2017,462.00
13-JAN-2017,FUTSTK,KSCL,30-MAR-2017,465.00
13-JAN-2017,FUTSTK,KTKBANK,25-JAN-2017,119.40
13-JAN-2017,FUTSTK,KTKBANK,23-FEB-2017,119.85
13-JAN-2017,FUTSTK,KTKBANK,30-MAR-2017,120.85
13-JAN-2017,FUTSTK,L&TFH,25-JAN-2017,95.15
13-JAN-2017,FUTSTK,L&TFH,23-FEB-2017,95.35
13-JAN-2017,FUTSTK,L&TFH,30-MAR-2017,96.10
13-JAN-2017,FUTSTK,LICHSGFIN,25-JAN-2017,532.45
13-JAN-2017,FUTSTK,LICHSGFIN,23-FEB-2017,534.35
13-JAN-2017,FUTSTK,LICHSGFIN,30-MAR-2017,537.95
